"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"89",0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,1,1,0,11,0,0,3,0,0,0,0,0,0,11,0
"92",0,11,0,0,29,0,3,10,0,0,0,0,0,16,0,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"94",0,0,0,0,16,0,0,2,0,0,0,1,0,0,0,0
"95",0,19,0,0,1,9,5,0,0,1,1,0,0,0,15,0
"96",0,20,0,0,6,16,0,0,0,0,0,2,0,0,5,0
"97",0,21,0,0,3,0,0,0,0,0,0,0,0,0,9,0
"98",0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0
"99",0,19,0,0,0,7,1,0,0,0,3,0,0,0,14,0
"100",0,17,0,0,3,0,0,0,0,0,0,0,0,2,22,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"103",0,19,0,0,2,27,3,0,0,2,0,0,0,0,25,0
"104",0,17,0,0,1,2,1,1,0,0,17,0,0,5,13,0
"105",0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
"106",0,28,0,0,13,59,0,0,0,0,0,1,0,0,36,0
"107",0,0,0,0,0,6,0,2,0,3,1,0,0,0,8,0
"108",0,22,1,0,1,61,1,2,0,6,1,0,0,0,23,0
"109",0,39,0,0,6,4,0,0,0,0,0,1,0,3,30,0
"110",2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"111",0,0,0,0,0,0,54,0,0,0,2,0,0,0,0,0
"112",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"113",1,0,5,0,0,0,0,1,0,0,7,1,0,0,0,0
"114",1,0,1,0,0,25,2,0,0,0,0,2,0,0,1,0
"115",0,1,0,0,1,0,1,1,0,0,0,0,0,0,7,0
"116",2,0,0,0,0,0,1,0,0,1,22,0,0,0,3,0
"117",0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0
"118",2,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"119",0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
"120",2,0,0,0,0,0,3,0,0,1,0,1,0,0,6,0
"121",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"122",0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0
"123",0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0
"124",0,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0
"125",0,0,0,0,1,0,3,0,0,1,0,0,0,0,15,0
"126",0,19,0,0,5,15,0,1,0,0,0,0,0,56,19,0
"127",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"128",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"129",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
"131",1,0,0,0,0,0,4,0,0,1,8,0,0,0,0,0
"132",0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0
"133",0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
"134",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"135",2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"137",0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"139",0,0,1,0,0,0,11,0,0,0,2,0,0,0,0,0
"140",0,0,0,0,0,0,2,0,0,4,1,0,0,0,22,0
"141",0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0
"142",0,0,0,0,0,0,13,1,0,0,17,0,0,0,0,0
"143",0,0,1,0,0,16,33,3,0,0,20,0,0,0,0,0
"144",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"145",0,0,0,0,0,0,0,0,0,32,0,0,0,0,9,0
"146",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"147",0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0
"148",0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0
"149",0,0,5,0,0,0,0,0,0,20,0,0,0,0,28,0
"150",0,0,0,0,0,0,0,0,0,4,1,0,0,3,2,0
"151",0,0,0,0,0,0,0,0,0,7,3,0,0,0,4,0
"152",0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0
"153",0,3,0,0,0,42,0,0,0,4,0,0,0,1,2,0
"154",0,0,0,0,0,2,0,0,0,2,0,0,6,0,12,0
"155",0,0,0,0,0,0,0,0,0,21,0,0,0,0,23,0
"156",0,0,0,0,0,4,0,0,0,3,0,0,0,0,11,0
"157",0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0
"159",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0
