"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"89",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",0,2,0,0,4,0,0,3,0,0,0,0,0,0,4,4
"92",0,4,0,2,15,0,0,7,0,0,0,0,0,15,0,0
"93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"94",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"95",0,5,0,0,0,5,0,0,0,0,1,0,0,0,11,1
"96",0,12,0,0,2,8,0,0,0,0,0,1,0,0,7,1
"97",0,19,0,0,0,0,0,0,0,0,0,0,0,0,10,1
"98",0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0
"99",0,25,0,0,0,2,0,1,0,0,1,0,0,0,13,0
"100",0,18,0,0,5,2,0,1,0,0,0,0,0,0,13,4
"101",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"102",0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"103",0,16,0,0,0,31,0,0,0,0,0,0,0,0,25,0
"104",0,8,0,0,1,0,0,4,0,0,3,0,0,4,13,0
"105",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"106",0,20,0,0,2,44,0,0,0,0,0,0,0,0,23,0
"107",0,0,0,0,0,0,0,2,0,3,1,0,0,0,9,1
"108",0,15,2,0,0,23,0,2,0,5,0,0,0,0,25,0
"109",0,23,0,0,6,11,0,0,0,0,0,0,0,2,19,3
"110",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"111",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"112",5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"113",0,0,5,0,0,0,0,2,0,0,3,0,0,0,0,0
"114",0,0,0,0,1,18,0,1,0,1,0,2,0,0,0,0
"115",0,5,4,0,0,0,1,0,0,0,0,0,0,0,3,0
"116",1,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0
"117",0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
"118",2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"120",1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0
"121",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"122",2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"123",1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
"124",4,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0
"125",0,0,0,0,0,0,3,0,0,1,0,0,0,0,16,1
"126",0,18,0,0,4,8,0,0,0,0,0,0,0,30,8,0
"127",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"130",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"131",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"132",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"133",0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
"134",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"137",0,0,1,0,0,0,14,0,0,0,2,0,0,0,0,1
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"139",0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0
"140",0,0,0,0,0,0,2,0,0,3,1,0,0,0,23,0
"141",0,0,1,0,0,0,2,0,0,0,5,0,0,0,1,0
"142",0,0,0,0,0,0,7,2,0,0,7,0,0,0,1,0
"143",0,0,1,0,0,0,0,5,0,0,12,0,0,0,0,0
"144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
