"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","platform","Group","sp.group"
"302","424","20120308_090 1","BUFF",2,1,"0","0","12143","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","bufflehead"
"303","439","20120308_093 1","RBME",1,1,"0","0","12500","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","red-breasted merganser"
"304","440","20120308_093 1","UNSC",0,0,"0","4","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","UNSC"
"305","441","20120308_093 1","WWSC",4,4,"4","0","12501","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","white-winged scoter"
"306","442","20120308_093 10","BUFF",2,3,"3","4","12609","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","bufflehead"
"307","443","20120308_093 10","COLO",1,1,"1","0","12621","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","common loon"
"308","444","20120308_093 10","SUSC",1,1,"1","2","12606","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","surf scoter"
"309","445","20120308_093 10","WWSC",2,0,"1","0","6960","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","white-winged scoter"
"310","446","20120308_093 11","BUFF",5,2,"0","0","12636","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"," 11","bufflehead"
"311","447","20120308_093 11","WWSC",5,4,"3","3","12640","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 11","white-winged scoter"
"312","448","20120308_093 12","BUFF",11,0,"0","0","6972","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"," 12","bufflehead"
"313","449","20120308_093 12","COLO",1,1,"0","0","12647","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 12","common loon"
"314","450","20120308_093 2","UNDU",0,0,"0","0","6897","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 2","UNDU"
"315","451","20120308_093 3","UNSC",0,0,"0","1","12513","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 3","UNSC"
"316","452","20120308_093 4","COGO",1,1,"0","0","12522","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","common goldeneye"
"317","453","20120308_093 4","SUSC",3,2,"0","0","12521","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","surf scoter"
"318","454","20120308_093 4","UNSC",0,0,"94","40","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","UNSC"
"319","455","20120308_093 4","WWSC",168,107,"0","0","12530","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","white-winged scoter"
"320","456","20120308_093 5","WWSC",2,2,"0","0","12532","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 5","white-winged scoter"
"321","457","20120308_093 6","COGO",1,1,"0","0","12539","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 6","common goldeneye"
"322","458","20120308_093 6","DCCO",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 6","double-crested cormorant"
"323","459","20120308_093 6","UNGO",0,0,"0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 6","UNGO"
"324","460","20120308_093 7","BUFF",7,3,"0","0","12582","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 7","bufflehead"
"325","461","20120308_093 7","COGO",2,2,"2","1","12578","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 7","common goldeneye"
"326","462","20120308_093 7","UNDD",0,0,"0","2","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 7","UNDD"
"327","463","20120308_093 7","UNDU",0,0,"0","0","6933","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 7","UNDU"
"328","464","20120308_093 7","UNGO",0,0,"0","0","12577","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 7","UNGO"
"329","465","20120308_093 8","BUFF",2,0,"0","0","6944","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","bufflehead"
"330","466","20120308_093 8","COGO",2,1,"0","0","12591","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","common goldeneye"
"331","467","20120308_093 8","HADU",6,7,"2","0","12594","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","Harlequin duck"
"332","468","20120308_093 8","UNDU",0,0,"0","0","12593","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3 8","UNDU"
"333","469","20120308_093 8","UNGO",0,0,"3","0","12589","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","UNGO"
"334","470","20120308_093 8","UNME",0,0,"0","5","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","UNME"
"335","471","20120308_093 8","UNSB",0,0,"0","0","6946","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","UNSB"
"336","472","20120308_093 8","WWSC",2,0,"0","0","6947","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 8","white-winged scoter"
"337","473","20120308_093 9","BUFF",1,1,"0","0","12598","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 9","bufflehead"
"338","474","20120308_093 9","UNGO",0,0,"0","0","12603","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3 9","UNGO"
"339","477","20120308_094 2","BLBR",2,3,"4","0","12670","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4 2","goose"
"340","478","20120308_094 2","BUFF",0,9,"9","0","12675","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 2","bufflehead"
"341","479","20120308_094 3","BLBR",4,2,"5","5","12681","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4 3","goose"
"342","480","20120308_094 3","UNME",0,0,"0","3","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 3","UNME"
"343","481","20120308_094 4","BLBR",0,0,"1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 4","goose"
"344","482","20120308_094 4","LTDU",2,2,"2","0","12703","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 4","long-tailed duck"
"345","483","20120308_094 4","WWSC",2,2,"2","2","12699","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 4","white-winged scoter"
"346","484","20120308_094 5","BLBR",17,3,"22","5","12707","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 5","goose"
"347","485","20120308_094 6","BUFF",1,4,"0","0","12734","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 6","bufflehead"
"348","486","20120308_094 6","HOGR",1,0,"0","0","7007","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 6","horned grebe"
"349","487","20120308_094 6","LTDU",1,1,"1","1","12721","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4 6","long-tailed duck"
"350","488","20120308_094 6","WWSC",0,1,"0","0","12727","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 6","white-winged scoter"
"351","489","20120308_094 7","BUFF",5,4,"4","4","12740","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4 7","bufflehead"
"352","490","20120308_094 7","UNDU",0,0,"0","0","7014","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 7","UNDU"
"353","491","20120308_094 8","SUSC",1,1,"1","1","12764","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 8","surf scoter"
"354","492","20120308_095 1","LTDU",1,1,"1","0","12909","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5 1","long-tailed duck"
"355","493","20120308_096 1","LTDU",1,1,"1","1","13120","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 1","long-tailed duck"
"356","494","20120308_096 2","SUSC",1,1,"1","1","13135","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 2","surf scoter"
"357","495","20120308_096 3","HOGR",2,0,"0","0","7205","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 3","horned grebe"
"358","496","20120308_097 1","RTLO",3,3,"0","3","13192","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 1","red-throated loon"
"359","497","20120308_097 1","UNLO",0,0,"3","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 1","UNLO"
"360","498","20120308_097 2","UBWG",0,0,"1","1","7239","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","7 2","gull"
"361","499","20120308_097 3","UNAC",0,0,"0","0","13229","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","7 3","UNAC"
"362","500","20120308_097 4","RTLO",1,0,"0","0","7268","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","red-throated loon"
"363","501","20120308_097 5","LTDU",1,1,"1","0","13302","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 5","long-tailed duck"
"364","502","20120308_097 6","BLBR",2,0,"2","0","7288","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","7 6","goose"
"365","503","20120308_098 1","UNGU",0,0,"0","0","7301","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8 1","gull"
"366","504","20120308_098 2","UNGU",0,0,"1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 2","gull"
"367","505","20120308_098 3","UNLO",0,0,"0","0","7392","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 3","UNLO"
"368","506","20120308_099 1","GWGU",0,0,"0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9 1","gull"
"369","507","20120308_099 1","UNGU",0,0,"1","0","13523","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9 1","gull"
"370","510","20120308_099 3","HOGR",0,1,"0","0","13579","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 3","horned grebe"
"371","511","20120308_099 3","UNDD",0,0,"1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 3","UNDD"
"372","513","20120308_099 4","RTLO",0,0,"0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 4","red-throated loon"
"373","514","20120308_099 4","UNSB",0,0,"2","0","13629","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 4","UNSB"
"374","524","20120308_100 6","UBWG",0,0,"1","1","13826","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0 6","gull"
"375","526","20120308_102 1","UBWG",0,0,"0","0","7707","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2 1","gull"
"376","527","20120308_102 2","UNGU",0,0,"0","0","7736","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2 2","gull"
"377","528","20120308_102 3","UNGU",0,0,"1","1","14088","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","gull"
"378","529","20120308_102 4","UNGU",0,0,"2","2","14111","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","gull"
"379","530","20120308_102 5","HOGR",1,1,"0","0","14126","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","horned grebe"
"380","531","20120308_102 6","UNAC",0,0,"1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","UNAC"
"381","532","20120308_102 7","UNGU",0,0,"3","1","14160","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 7","gull"
"382","533","20120308_102 8","RBME",1,1,"0","0","14167","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 8","red-breasted merganser"
"383","535","20120308_103 1","RBME",0,1,"1","0","14181","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","red-breasted merganser"
"384","536","20120308_103 1","UNME",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","UNME"
"385","539","20120308_103 3","UNLO",0,0,"0","0","14233","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 3","UNLO"
"386","540","20120308_103 4","UBWG",0,0,"1","1","14244","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3 4","gull"
"387","541","20120308_103 4","UNGU",0,0,"0","0","7822","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","gull"
"388","542","20120308_103 5","UNLO",0,0,"0","0","7827","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 5","UNLO"
"389","543","20120308_103 6","HOGR",2,0,"0","0","7837","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 6","horned grebe"
"390","544","20120308_104 1","UNDU",0,0,"0","0","7847","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 1","UNDU"
"391","545","20120308_104 2","UNGU",0,0,"95","40","14282","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","4 2","gull"
"392","546","20120308_104 3","BAGO",1,1,"2","0","14283","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 3","Barrow's goldeneye"
"393","547","20120308_104 4","UNGU",0,0,"0","1","14285","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4 4","gull"
"394","548","20120308_104 5","BUFF",1,0,"0","0","7859","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 5","bufflehead"
"395","549","20120308_104 6","SUSC",3,1,"3","3","14312","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 6","surf scoter"
"396","565","20120308_109 1","SUSC",3,3,"3","0","15160","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 1","surf scoter"
"397","566","20120308_109 2","SUSC",1,1,"1","1","15172","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 2","surf scoter"
"398","567","20120308_109 3","HOGR",5,1,"1","0","15197","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 3","horned grebe"
"399","568","20120308_109 3","LTDU",1,2,"2","0","15190","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 3","long-tailed duck"
"400","569","20120308_109 4","SUSC",6,6,"6","6","15211","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9 4","surf scoter"
"401","570","20120308_110 1","LTDU",5,6,"7","6","15323","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 1","long-tailed duck"
"402","571","20120308_110 2","HOGR",2,1,"0","0","15349","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 2","horned grebe"
"403","572","20120308_110 3","LTDU",3,3,"3","3","15356","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 3","long-tailed duck"
"404","573","20120308_110 4","UNLO",0,0,"0","0","8487","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0 4","UNLO"
"405","574","20120308_110 5","LTDU",1,0,"0","0","8510","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 5","long-tailed duck"
"406","575","20120308_110 6","SUSC",1,1,"1","1","15440","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 6","surf scoter"
"407","576","20120308_111 1","LTDU",0,0,"0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 1","long-tailed duck"
"408","577","20120308_111 1","SUSC",4,4,"5","3","15465","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 1","surf scoter"
"409","578","20120308_111 1","UNDU",0,0,"0","0","15460","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 1","UNDU"
"410","579","20120308_111 1","UNSB",0,0,"0","0","15445","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 1","UNSB"
"411","580","20120308_111 2","BLBR",8,0,"0","0","8551","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1 2","goose"
"412","581","20120308_111 2","BUFF",0,1,"0","0","15513","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 2","bufflehead"
"413","582","20120308_111 2","UNDU",0,0,"0","0","8551","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 2","UNDU"
"414","583","20120308_111 3","BLBR",27,4,"7","7","15547","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1 3","goose"
"415","584","20120308_111 3","BUFF",5,5,"2","0","15545","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","bufflehead"
"416","585","20120308_111 3","COGO",1,1,"1","0","15544","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","common goldeneye"
"417","586","20120308_111 3","UNDD",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","UNDD"
"418","587","20120308_111 3","UNDU",0,0,"0","2","15538","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","UNDU"
"419","588","20120308_111 3","UNSB",0,0,"0","0","15536","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","UNSB"
"420","589","20120308_111 3","WWSC",4,3,"0","0","15535","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 3","white-winged scoter"
"421","590","20120308_111 4","BLBR",5,3,"7","5","15559","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1 4","goose"
"422","591","20120308_111 4","BUFF",1,0,"0","0","8567","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 4","bufflehead"
"423","592","20120308_111 4","WWSC",3,3,"0","0","15563","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 4","white-winged scoter"
"424","593","20120308_111 5","BLBR",11,13,"13","9","15584","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1 5","goose"
"425","594","20120308_111 5","BUFF",2,1,"0","0","15565","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","bufflehead"
"426","595","20120308_111 5","COGO",2,4,"7","0","15571","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","common goldeneye"
"427","596","20120308_111 5","HOGR",1,2,"0","0","15571","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","horned grebe"
"428","597","20120308_111 5","LTDU",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","long-tailed duck"
"429","598","20120308_111 5","SUSC",1,1,"0","1","15578","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","surf scoter"
"430","599","20120308_111 5","UNGO",0,0,"0","5","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","UNGO"
"431","600","20120308_111 5","UNSB",0,0,"0","0","8576","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","UNSB"
"432","601","20120308_111 5","WWSC",3,3,"0","3","15576","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 5","white-winged scoter"
"433","602","20120308_111 6","BUFF",4,3,"2","3","15609","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 6","bufflehead"
"434","603","20120308_111 6","COLO",0,1,"1","0","15591","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 6","common loon"
"435","604","20120308_111 6","HOGR",1,1,"0","0","15613","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 6","horned grebe"
"436","605","20120308_111 6","UNSB",0,0,"0","0","8582","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 6","UNSB"
"437","606","20120308_111 6","WWSC",0,1,"2","2","15617","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 6","white-winged scoter"
"438","607","20120308_112 1","HOGR",1,1,"0","0","15628","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 1","horned grebe"
"439","608","20120308_112 10","BAGO",0,0,"0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","Barrow's goldeneye"
"440","609","20120308_112 10","COGO",1,1,"1","0","15779","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1"," 10","common goldeneye"
"441","610","20120308_112 2","BLBR",0,2,"7","4","15629","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","goose"
"442","611","20120308_112 2","BUFF",18,8,"5","6","15634","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","bufflehead"
"443","612","20120308_112 2","COGO",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","common goldeneye"
"444","613","20120308_112 2","UNDU",0,0,"0","0","8600","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","UNDU"
"445","614","20120308_112 2","WWSC",0,0,"3","3","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","white-winged scoter"
"446","615","20120308_112 3","BLBR",1,0,"2","1","8605","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","goose"
"447","616","20120308_112 3","BUFF",1,1,"0","0","15649","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","bufflehead"
"448","617","20120308_112 3","HOGR",1,1,"0","0","15649","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","horned grebe"
"449","618","20120308_112 3","UNDD",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","UNDD"
"450","619","20120308_112 3","WWSC",1,1,"1","0","15646","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","white-winged scoter"
"451","620","20120308_112 4","BUFF",0,1,"2","2","15659","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","bufflehead"
"452","621","20120308_112 4","COLO",1,1,"1","0","15650","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","common loon"
"453","622","20120308_112 4","SCAU",1,1,"0","0","15670","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","scaup"
"454","623","20120308_112 4","UNLO",0,0,"0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","UNLO"
"455","624","20120308_112 4","UNSB",0,0,"0","0","15663","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 4","UNSB"
"456","625","20120308_112 5","BUFF",3,2,"0","0","15690","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","bufflehead"
"457","626","20120308_112 5","SUSC",10,9,"13","9","15690","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","surf scoter"
"458","627","20120308_112 5","UNDU",0,0,"0","0","8624","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","UNDU"
"459","628","20120308_112 5","UNGO",0,0,"0","0","15682","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","UNGO"
"460","629","20120308_112 5","WWSC",6,6,"5","3","15686","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","white-winged scoter"
"461","630","20120308_112 6","BLBR",1,0,"0","0","8629","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2 6","goose"
"462","631","20120308_112 6","BUFF",4,3,"0","0","15701","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","bufflehead"
"463","632","20120308_112 6","SUSC",2,2,"4","4","15703","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","surf scoter"
"464","633","20120308_112 6","UNDU",0,0,"0","0","15705","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","UNDU"
"465","634","20120308_112 6","UNSC",0,0,"0","0","15704","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","UNSC"
"466","635","20120308_112 6","WWSC",3,1,"0","0","15697","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 6","white-winged scoter"
"467","636","20120308_112 7","BUFF",3,5,"3","1","15719","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 7","bufflehead"
"468","637","20120308_112 7","SUSC",4,3,"4","4","15713","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 7","surf scoter"
"469","638","20120308_112 7","UNDU",0,0,"0","0","8633","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 7","UNDU"
"470","639","20120308_112 7","UNGO",0,0,"0","2","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 7","UNGO"
"471","640","20120308_112 8","BUFF",0,1,"3","2","15733","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 8","bufflehead"
"472","641","20120308_112 8","SUSC",1,1,"1","1","15735","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 8","surf scoter"
