"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","platform","Group","sp.group"
"127","187","20120308_032 5","LTDU",0,1,"1","0","4667","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 5","long-tailed duck"
"128","189","20120308_036 2","LTDU",1,1,"1","1","5327","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 2","long-tailed duck"
"129","215","20120308_040 4","UNCO",0,0,"10","12","5945","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 4","UNCO"
"130","216","20120308_040 4","UNGU",0,0,"1","1","5945","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 4","gull"
"131","228","20120308_040 8","UNME",0,0,"0","0","6016","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0 8","UNME"
"132","231","20120308_042 1","LTDU",1,1,"0","0","6068","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 1","long-tailed duck"
"133","232","20120308_042 2","LTDU",2,2,"2","2","6072","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 2","long-tailed duck"
"134","233","20120308_042 3","LTDU",1,0,"0","0","3425","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 3","long-tailed duck"
"135","234","20120308_043 1","SUSC",3,3,"3","3","6293","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 1","surf scoter"
"136","235","20120308_043 2","WWSC",2,2,"0","2","6308","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 2","white-winged scoter"
"137","236","20120308_043 3","SUSC",1,1,"1","1","6315","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 3","surf scoter"
"138","237","20120308_043 4","WWSC",5,3,"5","5","6320","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 4","white-winged scoter"
"139","238","20120308_043 5","SUSC",38,38,"21","35","6330","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 5","surf scoter"
"140","239","20120308_043 5","UNSC",0,0,"31","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 5","UNSC"
"141","240","20120308_043 5","WWSC",11,11,"0","0","6329","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 5","white-winged scoter"
"142","244","20120308_044 3","BUFF",3,3,"3","3","6403","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4 3","bufflehead"
"143","248","20120308_046 2","GWGU",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 2","gull"
"144","249","20120308_046 2","UNGU",0,0,"1","0","6630","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 2","gull"
"145","250","20120308_046 3","COMU",1,1,"1","1","6656","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","6 3","common murre"
"146","251","20120308_046 4","UBWG",0,0,"1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","6 4","gull"
"147","252","20120308_047 1","COMU",7,7,"7","7","6690","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 1","common murre"
"148","253","20120308_047 2","COMU",1,1,"0","1","6719","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 2","common murre"
"149","254","20120308_047 3","COMU",1,1,"0","0","6736","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 3","common murre"
"150","258","20120308_047 6","COMU",12,5,"2","3","6797","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 6","common murre"
