alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0
0,19,0,0,0,7,1,0,0,0,3,0,0,0,14,0
0,17,0,0,3,0,0,0,0,0,0,0,0,2,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,19,0,0,2,27,3,0,0,2,0,0,0,0,25,0
0,17,0,0,1,2,1,1,0,0,17,0,0,5,13,0
0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,28,0,0,13,59,0,0,0,0,0,1,0,0,36,0
0,0,0,0,0,6,0,2,0,3,1,0,0,0,8,0
0,22,1,0,1,61,1,2,0,6,1,0,0,0,23,0
0,39,0,0,6,4,0,0,0,0,0,1,0,3,30,0
2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,54,0,0,0,2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,5,0,0,0,0,1,0,0,7,1,0,0,0,0
1,0,1,0,0,25,2,0,0,0,0,2,0,0,1,0
0,1,0,0,1,0,1,1,0,0,0,0,0,0,7,0
2,0,0,0,0,0,1,0,0,1,22,0,0,0,3,0
0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
2,0,0,0,0,0,3,0,0,1,0,1,0,0,6,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0
0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0
0,0,0,0,1,0,3,0,0,1,0,0,0,0,15,0
0,19,0,0,5,15,0,1,0,0,0,0,0,56,19,0
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,4,0,0,1,8,0,0,0,0,0
0,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,1,0,0,0,4,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,1,0,0,0,11,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,2,0,0,4,1,0,0,0,22,0
0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0
0,0,0,0,0,0,13,1,0,0,17,0,0,0,0,0
0,0,1,0,0,16,33,3,0,0,20,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,32,0,0,0,0,9,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0
0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,0
0,0,5,0,0,0,0,0,0,20,0,0,0,0,28,0
0,0,0,0,0,0,0,0,0,4,1,0,0,3,2,0
0,0,0,0,0,0,0,0,0,7,3,0,0,0,4,0
0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0
0,3,0,0,0,42,0,0,0,4,0,0,0,1,2,0
0,0,0,0,0,2,0,0,0,2,0,0,6,0,12,0
0,0,0,0,0,0,0,0,0,21,0,0,0,0,23,0
0,0,0,0,0,4,0,0,0,3,0,0,0,0,11,0
0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0
0,7,0,0,0,5,2,0,0,0,0,0,0,0,19,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22,0,0,2,56,0,0,0,0,0,0,0,0,10,0
0,0,0,0,0,40,0,0,0,0,0,0,19,0,0,0
0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0
0,0,0,0,0,0,8,0,0,4,2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,45,0,0,0,0,1,0,5,0,12,0
0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,8,0,0,0,15,1,0,0,0,3,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,1,0,0,0,6,2,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,2,0,0,0,71,0,1,0,0,3,2,0,0,0,0
0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0
0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,3,14,0,0,0,3,0
0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,13,0,0,0,0,2,2,0,0,0,0,0,0,0,0
0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,9,0,0,1,0,1,2,0,0,0,0,0
0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0
0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,61,0,0,0,2,0,0,1,0,1,0,0,0,5,0
0,33,0,0,0,2,0,0,0,0,1,0,0,0,27,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,37,0,0,1,52,0,2,0,0,0,0,0,0,151,0
0,9,0,0,0,27,1,0,0,0,0,0,0,0,36,0
0,9,0,0,0,10,4,1,0,2,0,0,0,0,5,0
0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0
0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0
0,15,1,0,0,0,0,1,0,1,0,0,0,0,9,0
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,6,0,0,0,0,3,0
