"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","Front","Rear","Fr.Det","Rr.Det","platform","Group","group"
"35","85","20120308_023 1","EUWI",2,2,0,0,"3251","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 1","dabbling duck"
"36","86","20120308_023 1","MALL",2,3,0,0,"3251","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 1","dabbling duck"
"37","87","20120308_023 1","NOPI",0,2,0,0,"3243","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 1","dabbling duck"
"38","88","20120308_023 1","UNGU",1,0,0,0,"1815","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 1","gull"
"39","89","20120308_023 2","AMWI",274,248,186,54,"3296","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 2","dabbling duck"
"40","90","20120308_023 2","BUFF",1,1,0,0,"3275","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 2","bufflehead"
"41","91","20120308_023 2","EUWI",0,1,0,0,"3281","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 2","dabbling duck"
"42","92","20120308_023 3","RBME",0,1,0,0,"3300","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 3","merganser"
"43","93","20120308_023 3","UNGO",0,0,1,0,"0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","0","1","3 3","goldeneye"
"44","94","20120308_023 3","UNME",0,0,0,1,"0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","0","1","1","3 3","merganser"
"45","95","20120308_023 4","AMWI",2,3,3,8,"3322","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","0","1","1","3 4","dabbling duck"
"46","96","20120308_023 4","BLBR",2,0,0,0,"1857","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","goose"
"47","97","20120308_023 4","BUFF",0,1,1,1,"3312","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","bufflehead"
"48","98","20120308_023 4","UNGU",1,1,0,0,"3303","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 4","gull"
"49","99","20120308_023 5","BUFF",0,1,1,1,"3350","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 5","bufflehead"
"50","100","20120308_023 6","AMWI",57,6,2,2,"3407","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 6","dabbling duck"
"51","101","20120308_023 6","BLBR",53,2,2,2,"3403","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","3 6","goose"
"52","103","20120308_024 2","BLBR",2,0,0,0,"1907","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 2","goose"
"53","104","20120308_024 3","BUFF",31,16,10,7,"3468","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 3","bufflehead"
"54","110","20120308_024 7","UBWG",0,1,1,1,"3557","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 7","gull"
"55","111","20120308_024 7","UNGU",1,0,0,0,"1956","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","1","1","4 7","gull"
"56","112","20120308_024 8","BUFF",0,1,1,0,"3570","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","BM","TC","1","0","1","4 8","bufflehead"
